AQW00061705         252C
USC00314144         244R
USC00314260         221R
USC00314456         407R
USC00314464         368S
USC00314471         384Q
USC00314496          19S
USC00314684         379S
USC00314689         586S
USC00314788          22R
USC00314860         590S
USC00314938         306S
USC00314962         483R
USC00314970         346S
USC00314996         297C
USC00315116         323S
USC00315123         442S
USC00315175         383Q
USC00315177         500R
USC00315340         451R
USC00315356          99S
USC00315743         348S
USC00315771         502C
USC00315820         484Q
USC00315830         120S
USC00315838         243C
USC00315890         209S
USC00315923           0S
USC00315996         242S
USC00316001         167S
USC00316122         363Q
USC00316256         255S
USC00316341          74S
USC00316349          46R
USC00316422         374Q
USC00316507         266R
USC00316510         338R
USC00316676         368Q
USC00316805          94S
USC00316853         398S
USC00317056         388R
USC00317074         353S
USC00317079         460S
USC00317170         378Q
USC00317202         281S
USC00317319         368S
USC00317346           8Q
USC00317516         317S
USC00317548         171R
USC00317615         358S
USC00317618         303S
USC00317656         457S
USC00317813         263Q
USC00317845         395R
USC00317924         313S
USC00317994         355S
USC00318113         540R
USC00318158         128Q
USC00318221           8Q
USC00318292         222S
USC00318380         234Q
USC00318448           0R
USC00318492         175S
USC00318500         370S
USC00318519         248R
USC00318694           5S
USC00318744         177S
USC00318964         488C
USC00319026         467Q
USC00319081         429R
USC00319100         389Q
USC00319123         161C
USC00319147           8S
USC00319357         470R
USC00319423         442S
USC00319440         333S
USC00319461         392Q
USC00319467         491S
USC00319476         487S
USC00319555         254C
USC00319675         229C
USC00319704         416R
USC00320127         222R
USC00320209         289R
USC00320382         141S
USC00320590         204R
USC00320626          41R
USC00320766         282R
USC00320767         158Q
USC00320817          91Q
USC00320941          75S
USC00320961         124R
USC00320995         173S
USC00321052         262R
USC00321225         156S
USC00321360          76R
USC00321362         116R
USC00321370         171R
USC00321408         122R
USC00321435          52S
USC00321456         183S
USC00321686         140S
USC00321766          74S
USC00321871         135C
USC00322188         191S
USC00322193         196S
USC00322304         131S
USC00322365         268R
USC00322482         119R
USC00322525          58S
USC00322536         155R
USC00322605         144R
USC00322695         131R
USC00322809         212S
USC00322949         114R
USC00323004         169R
USC00323117         129S
USC00323196         111S
USC00323207         279R
USC00323217         178R
USC00323287         122S
USC00323309         119R
USC00323376         123S
USC00323594         114R
USC00323621          85R
USC00323686         165R
USC00323705         185R
USC00323908         154R
USC00323963         101S
USC00324013          98R
USC00324083         114R
USC00324091         210R
USC00324102         171R
USC00324178         202R
USC00324180         219Q
USC00324203         105R
USC00324343         100R
USC00324418         117S
USC00324571         215S
USC00324646         112S
USC00324722         195R
USC00324937         163S
USC00324958          38S
USC00325013          76R
USC00325078         105R
USC00325186         108Q
USC00325210         190R
USC00325211         144Q
USC00325220         168S
USC00325479         163S
USC00325638         138S
USC00325660          89R
USC00325710         178S
USC00325730          95S
USC00325754         158S
USC00325764         121R
USC00325813         293R
USC00325848          63R
USC00325993          97S
USC00326015         218R
USC00326025         118R
USC00326155         253S
USC00326255         124S
USC00326315         202S
USC00326365         148S
USC00326620         143R
USC00326857         133R
USC00327027          59S
USC00327047         157R
USC00327281         110R
USC00327311         236S
USC00327530         175C
USC00327585         102Q
USC00327655          72Q
USC00327664          26S
USC00327704         100S
USC00327986          44R
USC00328276         114S
USC00328366         132R
USC00328415         101R
USC00328660         208Q
USC00328737         233S
USC00328792         133S
USC00328812         230S
USC00328840         151S
USC00328850         192R
USC00328853          55R
USC00328872         143S
USC00328913         112C
USC00328937          99S
USC00328990         118R
USC00329100         152R
USC00329195         162S
USC00329233         207R
USC00329246         269S
USC00329333         128S
USC00329400         112S
USC00329430         277S
USC00329445          98S
USC00329455          99R
USC00329515          96R
USC00330061         115R
USC00330256          82R
USC00330264          39R
USC00330279          79S
USC00330430          62R
USC00330563          67S
USC00330676         127R
USC00330862         126S
USC00331042          98Q
USC00331072          92S
USC00331152          30S
USC00331175          54Q
USC00331197         152S
USC00331245          51R
USC00331288          95R
USC00331390          86S
USC00331404          94S
USC00331458          42C
USC00331515         144R
USC00331528         179R
USC00331536         193S
USC00331541          47S
USC00331550         189S
USC00331592         143S
USC00331783         210R
USC00331890          86S
USC00331905          65S
USC00332044          72C
USC00332067         311S
USC00332098         140S
USC00332119         170R
USC00332160         109R
USC00332251          40S
USC00332485         151S
USC00332599         160S
USC00332651         306R
USC00332791         135S
USC00332928         172R
USC00332956          55S
USC00332974         158R
USC00332976         124R
USC00333021          99Q
USC00333029         445S
USC00333375          96S
USC00333500          89S
USC00333722         161R
USC00333758          56S
USC00333780          26S
USC00333874         142S
USC00333987         213R
USC00334004         125R
USC00334189         150S
USC00334260          61R
USC00334383         110R
USC00334403         189R
USC00334551          92S
USC00334672         106R
USC00334681         123R
USC00334874          63S
USC00334927         141S
USC00334942         115S
USC00334979         148S
USC00335041         120S
USC00335188         270Q
USC00335268         252R
USC00335297          96R
USC00335315          41S
USC00335356         157R
USC00335438         106C
USC00335669         114R
USC00335747         100S
USC00335857          94S
USC00335894         123R
USC00335939         127R
USC00336118         106R
USC00336196          83S
USC00336389          26R
USC00336405         125S
USC00336465         111S
USC00336600         111S
USC00336650         104Q
USC00336781         235S
USC00336882          43R
USC00337120         209R
USC00337559          89Q
USC00337693         123S
USC00337857         297R
USC00337935         115S
USC00338025          69S
USC00338313         133S
USC00338366         221R
USC00338534         123S
USC00338552         132S
USC00338609         150S
USC00338769          65C
USC00338794          80R
USC00338810         161R
USC00338822          81S
USC00338830         211S
USC00338951         168S
USC00339219         106S
USC00339299          63Q
USC00339312          85C
USC00339361          80S
USC00340010         622Q
USC00340017         689S
USC00340028         510Q
USC00340179         935S
USC00340184         873S
USC00340193         794R
USC00340224         664S
USC00340256         638R
USC00340292         755R
USC00340332         543R
USC00340391         687Q
USC00340535         577R
USC00340546         587Q
USC00340567         403R
USC00340593         740S
USC00340755         656S
USC00340782         666R
USC00340818         661R
USC00340830         637S
USC00340908         662S
USC00340980         680R
USC00341144         504S
USC00341162         655Q
USC00341168         719R
USC00341243         753R
USC00341445         761R
USC00341504         704R
USC00341648         609Q
USC00341684         766R
USC00341706         927S
USC00341724         784S
USC00341745         678S
USC00341750         885S
USC00341828         576S
USC00341902         643R
USC00341909         739R
USC00342011         657Q
USC00342318         609S
USC00342660         705S
USC00342678         754R
USC00342818         664R
USC00342849         669R
USC00342912         722S
USC00342944         739S
USC00342993         654R
USC00343286         618Q
USC00343304         744S
USC00343353         958R
USC00343358         727R
USC00343489         682S
USC00343497         626S
USC00343628         744S
USC00343740         773S
USC00343821         644S
USC00343871         695R
USC00343884         675R
USC00344001         739R
USC00344019         746C
USC00344055         699S
USC00344098         568Q
USC00344235         703R
USC00344249         965S
USC00344298         824R
USC00344384         645R
USC00344393         532Q
USC00344451         721R
USC00344567         564R
USC00344573         741S
USC00344672         478S
USC00344766         691R
USC00344812         500R
USC00344861         733S
USC00344975         443R
USC00345063         818R
USC00345216         687R
USC00345468         788S
USC00345509         900S
USC00345522         627S
USC00345563         691S
USC00345693         713S
USC00345713         759S
USC00345779         607S
USC00345855         536R
USC00346130         579S
USC00346139         727S
USC00346278         544S
USC00346386         586R
USC00346485         688R
USC00346629         763S
USC00346638         631S
USC00346670         679R
USC00346729         474Q
USC00346926         751R
USC00346935         599S
USC00347012         697S
USC00347080         643Q
USC00347254         709R
USC00347309         542R
USC00347327         606R
USC00347390         649S
USC00347579         599R
USC00347862         514S
USC00348042         838S
USC00348285         474R
USC00348380         501S
USC00348501         672S
USC00348506         391R
USC00348677         478R
USC00348708         737S
USC00348769         537Q
USC00349017         732R
USC00349023         583S
USC00349101         511Q
USC00349203         444R
USC00349247         569R
USC00349278         849R
USC00349364         650S
USC00349395         945S
USC00349404         771S
USC00349422         717S
USC00349445         691R
USC00349629         742S
USC00349634         704R
USC00349724         616Q
USC00350036         338Q
USC00350118         301R
USC00350145          20Q
USC00350189         256R
USC00350197         211S
USC00350265         382R
USC00350304         335S
USC00350356          88S
USC00350471           1S
USC00350501         260S
USC00350595         144R
USC00350652         221S
USC00350694         103S
USC00350699          97R
USC00350723         429R
USC00350856         158R
USC00350858         394S
USC00350897          97S
USC00351055          15R
USC00351058          12Q
USC00351067          87S
USC00351174         569R
USC00351433          70S
USC00351448         743S
USC00351546         124R
USC00351574         191S
USC00351643          36S
USC00351682           8S
USC00351765         148S
USC00351836           9S
USC00351862         138S
USC00351877         120S
USC00351897         124S
USC00351902          89S
USC00351914         185Q
USC00351926         231R
USC00351946       -7777S
USC00352112         165R
USC00352135         217R
USC00352173         564R
USC00352292         110S
USC00352374         101S
USC00352406         203S
USC00352415         350S
USC00352440         398S
USC00352597         278R
USC00352632         176Q
USC00352633         242R
USC00352675          53R
USC00352678         266R
USC00352693         121S
USC00352800          89Q
USC00352805         141R
USC00352867         180Q
USC00352876         314R
USC00352973           0Q
USC00352997         168S
USC00353014           5R
USC00353038         292R
USC00353047         150S
USC00353095         190R
USC00353193           3R
USC00353232         133Q
USC00353356           0R
USC00353402           6S
USC00353445         418S
USC00353542         167S
USC00353604         394S
USC00353692          96R
USC00353770          65S
USC00353818         339R
USC00353827         246S
USC00353847         338R
USC00353908         183R
USC00353995           1R
USC00354003         174S
USC00354060          71S
USC00354098         598S
USC00354126         174S
USC00354133         435R
USC00354175         265R
USC00354291         387S
USC00354329          69R
USC00354411         238R
USC00354506         411R
USC00354606         104S
USC00354622         249S
USC00354670         170S
USC00354721           1R
USC00354732           2R
USC00354776           2S
USC00354811         167S
USC00354819         197Q
USC00354835         136S
USC00355020         198R
USC00355050          58S
USC00355055         467S
USC00355139         258S
USC00355142         257S
USC00355160         492S
USC00355162         120R
USC00355174         158R
USC00355204          19Q
USC00355221         144S
USC00355258         122R
USC00355335         537R
USC00355362         291Q
USC00355384         164S
USC00355392         265Q
USC00355424         351R
USC00355515         203R
USC00355545         228R
USC00355593         351C
USC00355638         124R
USC00355641         368R
USC00355681         134Q
USC00355711         580Q
USC00355734         185S
USC00355945          95Q
USC00356151         135R
USC00356179         502R
USC00356213         103S
USC00356243         162R
USC00356252          22R
USC00356302         237R
USC00356334         186S
USC00356366           9S
USC00356405         588S
USC00356426         204R
USC00356466         119R
USC00356500         327R
USC00356532         506S
USC00356540         363S
USC00356541         413R
USC00356550         307Q
USC00356634         411S
USC00356655         224R
USC00356749         104R
USC00356750         120R
USC00356784       -7777S
USC00356820          78R
USC00356853         250R
USC00356883         275R
USC00356907         375S
USC00357160         490R
USC00357169         263S
USC00357208         496R
USC00357277         344S
USC00357310         541R
USC00357331         338S
USC00357391         506R
USC00357466          92S
USC00357554          34R
USC00357631          16R
USC00357641           2R
USC00357675          83S
USC00357736         317R
USC00357809          21R
USC00357817         188S
USC00357823          73S
USC00357857         229S
USC00358007         219R
USC00358029         186R
USC00358095          92S
USC00358173         331S
USC00358246         109R
USC00358407         402R
USC00358420         190R
USC00358466          87S
USC00358481          68R
USC00358494           2S
USC00358498           4Q
USC00358536         203S
USC00358726         169R
USC00358746         246S
USC00358797         544R
USC00358812         198R
USC00358884          59S
USC00358997         306S
USC00359176         464R
USC00359290         278R
USC00359316         127S
USC00359461         162R
USC00359588           0Q
USC00360132          55Q
USC00360140          32S
USC00360147         116Q
USC00360409           5Q
USC00360457          37Q
USC00360560         112Q
USC00360582          24Q
USC00360656         173S
USC00360763          98R
USC00360785         127S
USC00360868           9R
USC00361004          25R
USC00361080         135R
USC00361139          55S
USC00361212          41S
USC00361301          58Q
USC00361350           3S
USC00361354         140S
USC00361362           8Q
USC00361480          23Q
USC00361485          62S
USC00361526           1Q
USC00361534          12R
USC00361591         127R
USC00361705          78C
USC00361719          49R
USC00361790          20R
USC00361802          15Q
USC00361810           0Q
USC00361838          47R
USC00361920         116Q
USC00362071         100R
USC00362108          87S
USC00362183          23R
USC00362190         111S
USC00362323           8Q
USC00362470          11S
USC00362537         181R
USC00362574          90Q
USC00362629          61S
USC00362721          97R
USC00362942          79S
USC00363018          30R
USC00363028          58S
USC00363295          34R
USC00363311           1Q
USC00363437         103R
USC00363451         124R
USC00363488         407R
USC00363526          85R
USC00363632         172S
USC00363662         253R
USC00363665         143R
USC00363698         123R
USC00363758          35S
USC00364019         129R
USC00364076         103R
USC00364159          72Q
USC00364214          51S
USC00364325          28S
USC00364385         236R
USC00364432          12C
USC00364763         144S
USC00364778         179S
USC00364815           9R
USC00364836          34R
USC00364839           0Q
USC00364853          78R
USC00364896         100S
USC00364976         110R
USC00364992         129S
USC00365050          20R
USC00365109         126S
USC00365212         115Q
USC00365390         240S
USC00365470          69R
USC00365573         135R
USC00365606          62R
USC00365651          37S
USC00365686           6Q
USC00365790          58Q
USC00365817          54R
USC00365902          61S
USC00365915          20R
USC00366022           1Q
USC00366042          41R
USC00366194         143S
USC00366233         123S
USC00366238         167R
USC00366297         120R
USC00366370         315R
USC00366508         121S
USC00366649           6Q
USC00366689         313R
USC00366886         317R
USC00366921          25R
USC00366927         181R
USC00367029           2S
USC00367073         284Q
USC00367103           5Q
USC00367167          46R
USC00367229          77S
USC00367312         117S
USC00367322         199S
USC00367338          93R
USC00367409         114S
USC00367477          17S
USC00367578          73R
USC00367732         141Q
USC00367782          94S
USC00367931         129C
USC00367938         105R
USC00368011         100R
USC00368073         207S
USC00368184          80S
USC00368308          25Q
USC00368361          26R
USC00368400          94R
USC00368449          53S
USC00368469          80S
USC00368560          12R
USC00368596         117S
USC00368668          75Q
USC00368868          58R
USC00368873          37S
USC00368888          29C
USC00368905          79S
USC00369050         104S
USC00369103         253R
USC00369298          59C
USC00369318          43S
USC00369367          80S
USC00369408          14R
USC00369464         205R
USC00369735         190R
USC00369933         212S
USC00374266          63S
USC00375215           8R
USC00375270          21S
USC00377581          71R
USC00379423          79Q
USC00380074         643S
USC00380126         767S
USC00380165         502S
USC00380184         493S
USC00380448         710S
USC00380490         776Q
USC00380559         635R
USC00380635         476Q
USC00380736         586R
USC00380764         815R
USC00381093         424S
USC00381241         717R
USC00381256           4S
USC00381277         568S
USC00381310         373R
USC00381479         667R
USC00381588         488S
USC00381625         474R
USC00381633         491S
USC00381645         699R
USC00381726         784S
USC00381770         424S
USC00381944         954S
USC00381997         549S
USC00382260         650R
USC00382386         634S
USC00382730         422R
USC00382735         605Q
USC00382757         564Q
USC00383111         672S
USC00383468         513R
USC00383470         505Q
USC00383730         424Q
USC00383754         547S
USC00383906         603R
USC00383990         655R
USC00384111         388Q
USC00384169         320R
USC00384581           9Q
USC00384607         534S
USC00384690         515R
USC00384753         690R
USC00384886         762S
USC00385017         538S
USC00385200         323S
USC00385278         136R
USC00385290         422Q
USC00385306         420R
USC00385493         810S
USC00385509         546R
USC00385628         300R
USC00385633         563S
USC00385658         593Q
USC00385660         660Q
USC00385946         710R
USC00386114         449Q
USC00386153         203R
USC00386209         586R
USC00386293         342C
USC00386527         469S
USC00386616         511S
USC00386688         769R
USC00386775         412S
USC00386831         433S
USC00386893         700R
USC00387281         386R
USC00387288         549Q
USC00387589         285R
USC00387631         729S
USC00387666         618S
USC00387683         650Q
USC00387687         393Q
USC00387722         516C
USC00387885         519R
USC00388188         530S
USC00388405         473S
USC00388426         709R
USC00388440         493S
USC00388472         261Q
USC00388786         613R
USC00388887         378S
USC00388922         607R
USC00389039         601R
USC00389122         435S
USC00389327         569S
USC00389350         545S
USC00389469         833S
USC00389625         450Q
USC00390043         283S
USC00390120          70Q
USC00390128         252S
USC00390223         262R
USC00390236         425S
USC00390281          82R
USC00390296         363R
USC00390422          46R
USC00390554         386R
USC00390559         380R
USC00390565         291R
USC00390701         288S
USC00390778         256R
USC00391032         171S
USC00391049         189C
USC00391076          73C
USC00391294         314S
USC00391392         126R
USC00391519          90S
USC00391539         429R
USC00391579         167S
USC00391621         349S
USC00391739          99S
USC00391777          67S
USC00391873         121S
USC00391917         147R
USC00391972         437S
USC00392087          49R
USC00392207         133R
USC00392209         113Q
USC00392231           9R
USC00392302         101S
USC00392429         316S
USC00392446         319S
USC00392557         466S
USC00392565         198R
USC00392647         362R
USC00392797         176S
USC00392822         212Q
USC00392852         301S
USC00392927         248S
USC00392984          79S
USC00393029         254S
USC00393069         282C
USC00393076         483R
USC00393217         270S
USC00393294         185S
USC00393302         270Q
USC00393316         230R
USC00393452         229S
USC00393574         305R
USC00393608         303R
USC00393764         313Q
USC00393832         267S
USC00393838         215S
USC00393857         349R
USC00393868         100R
USC00393945         289Q
USC00394007         392C
USC00394037         139S
USC00394184         505S
USC00394206         153S
USC00394343         117R
USC00394516         406S
USC00394596         401C
USC00394671         210Q
USC00394766         308R
USC00394834          36S
USC00394864         263S
USC00394891         136R
USC00394956         118Q
USC00394983         399S
USC00395048         207R
USC00395090         122R
USC00395154         354R
USC00395228         173R
USC00395281         295R
USC00395285         106R
USC00395325         372S
USC00395360          38Q
USC00395381         269S
USC00395406         207R
USC00395456         186S
USC00395481         263C
USC00395506         392S
USC00395536         146R
USC00395544         352S
USC00395561         208S
USC00395620         303C
USC00395638         325S
USC00395648         273Q
USC00395669         225Q
USC00395671         252R
USC00395691         227R
USC00395738         107R
USC00395870          59S
USC00395891         344S
USC00396054         292S
USC00396170         398R
USC00396212         410S
USC00396227         413R
USC00396292         310S
USC00396304         441R
USC00396427          63S
USC00396574         322S
USC00396636         385R
USC00396712         256C
USC00396736         415S
USC00396790         325R
USC00396907         281R
USC00396947         194S
USC00396948         179R
USC00397052         188R
USC00397062         262S
USC00397073         242R
USC00397227          61R
USC00397277         136R
USC00397326          79Q
USC00397418         228Q
USC00397545         193S
USC00397569         281Q
USC00397742         126S
USC00397882         317S
USC00397992         239S
USC00398116          74S
USC00398307         253C
USC00398420          75Q
USC00398472         244C
USC00398528         326R
USC00398622         236S
USC00398652          85R
USC00398767         361C
USC00398911         413R
USC00398930         116Q
USC00398980          80S
USC00399004          90S
USC00399042         113R
USC00399070         222S
USC00399232         230S
USC00399337          82Q
USC00399347         196R
USC00399355          53Q
USC00399367         332S
USC00399442         351R
USC00399537         329R
USC00400049         403Q
USC00400081          18S
USC00400137         565S
USC00400284         298C
USC00400669         309R
USC00400705         491R
USC00400876         437C
USC00401039         378Q
USC00401145         489S
USC00401310         133R
USC00401352         406R
USC00401480         435S
USC00401561         369R
USC00401585         167Q
USC00401587         408R
USC00401640         338Q
USC00401663         411S
USC00401720         288Q
USC00401790         515S
USC00401795         375Q
USC00401808         358S
USC00401887          74R
USC00401950         513R
USC00401957         402S
USC00402009         252C
USC00402024         232R
USC00402108         437C
USC00402202          84S
USC00402360         287S
USC00402388         343R
USC00402489         284S
USC00402589         295S
USC00402600         356S
USC00402711         364Q
USC00402806         148S
USC00402934         144S
USC00402989         336Q
USC00403040          71R
USC00403074         475S
USC00403280         454S
USC00403370         429R
USC00403420         139S
USC00403447         642R
USC00403465         461Q
USC00403636         260Q
USC00403679         291S
USC00403938         340R
USC00404033         393Q
USC00404223         378R
USC00404417         446S
USC00404561         525S
USC00404568         509Q
USC00404590          90Q
USC00404613         211R
USC00404858         249S
USC00404871         299R
USC00404876         475S
USC00404946         281S
USC00404987         397S
USC00405035         308R
USC00405040         127R
USC00405089         277S
USC00405108         492S
USC00405118         389Q
USC00405158         355S
USC00405187         473C
USC00405210         443R
USC00405214         273Q
USC00405278         392R
USC00405332         219S
USC00405358         364R
USC00405431          81R
USC00405525         419Q
USC00405595         256R
USC00405681         532S
USC00405882         348S
USC00405956         581R
USC00405966         473Q
USC00406012         527S
USC00406162          54S
USC00406170          90R
USC00406180         121Q
USC00406271         217S
USC00406272          84R
USC00406274         436S
USC00406292          45R
USC00406308         298Q
USC00406328           0R
USC00406330         339Q
USC00406340         464R
USC00406371         488S
USC00406435         506S
USC00406471         399R
USC00406493         205R
USC00406534         262S
USC00406619         145S
USC00406806         321R
USC00406829         121S
USC00406977         348S
USC00407015         519R
USC00407141         111Q
USC00407184         289S
USC00407359         328S
USC00407459         375S
USC00407710         410R
USC00407808         233Q
USC00407834         256S
USC00407884         100S
USC00408065         360R
USC00408108         572S
USC00408160         490S
USC00408179         406S
USC00408184         231R
USC00408246         428S
USC00408405         237S
USC00408414         413R
USC00408445          82R
USC00408522         359R
USC00408540         249Q
USC00408562         365C
USC00408868         181S
USC00408886         332Q
USC00408916         307R
USC00408953         447Q
USC00409065          56R
USC00409155         231S
USC00409219         410S
USC00409431         328Q
USC00409434          61Q
USC00409481         390Q
USC00409492         434R
USC00409493         326Q
USC00409502         353S
USC00409691         307Q
USC00409709         337Q
USC00409800         225R
USC00409866         510S
USC00410012         571Q
USC00410013         919Q
USC00410040         915R
USC00410120         902R
USC00410144        1374R
USC00410174         514R
USC00410204         482R
USC00410206         748Q
USC00410225        1310C
USC00410235         642S
USC00410248        1083R
USC00410257         564S
USC00410268        1052R
USC00410305         461S
USC00410313         961S
USC00410337         785R
USC00410345        1429Q
USC00410394        1082S
USC00410404         749S
USC00410408         790R
USC00410431        1033Q
USC00410433        1007Q
USC00410482        1125S
USC00410493         971S
USC00410498        1091S
USC00410518         954S
USC00410569         774S
USC00410586         735S
USC00410611         813Q
USC00410613         849C
USC00410639        1099S
USC00410655         920Q
USC00410665        1026R
USC00410690        1417R
USC00410691         932S
USC00410764         881R
USC00410779         933R
USC00410805        1175R
USC00410832         846S
USC00410902         860S
USC00410923         668R
USC00410926         741Q
USC00410950        1894R
USC00410958         774S
USC00410984         715R
USC00411000         667S
USC00411007        1071R
USC00411013        1135R
USC00411017         979S
USC00411033         565S
USC00411042         998R
USC00411048         982S
USC00411063         787S
USC00411128         808C
USC00411138        1047S
USC00411246         806R
USC00411250         858S
USC00411267         574Q
USC00411337        1326R
USC00411348         386R
USC00411398         915R
USC00411412         714R
USC00411416        1658S
USC00411429         783S
USC00411430         643S
USC00411486        1452R
USC00411492         986R
USC00411500         809R
USC00411524        1866S
USC00411528        1671R
USC00411541        1006Q
USC00411578         967C
USC00411596         894S
USC00411649         586R
USC00411651         981R
USC00411663        1310S
USC00411671        1134Q
USC00411694         908R
USC00411715         111S
USC00411720        1201R
USC00411772         665S
USC00411778         554R
USC00411800         961C
USC00411810         730S
USC00411870         855R
USC00411875        1042S
USC00411880         960Q
USC00411903        1030R
USC00411911        1089S
USC00411934         977R
USC00411956         922R
USC00411974         988S
USC00411995        1076R
USC00412011        1048Q
USC00412012         909R
USC00412013        1038Q
USC00412019         886S
USC00412082         977R
USC00412114         855R
USC00412121         748C
USC00412125        1310Q
USC00412160        1433S
USC00412173        1371S
USC00412225         903R
USC00412235         512R
USC00412238         480Q
USC00412266         859S
USC00412334         740Q
USC00412352         791R
USC00412354        1158S
USC00412361        1197R
USC00412394         653R
USC00412404         883S
USC00412408         723R
USC00412458        1358R
USC00412464         608S
USC00412585         831R
USC00412590        1282R
USC00412593         865Q
USC00412598         768S
USC00412617         609S
USC00412677         902R
USC00412679        1439S
USC00412715         932R
USC00412741         833Q
USC00412758        1433Q
USC00412786        1184Q
USC00412793        1030Q
USC00412794         679R
USC00412809         764Q
USC00412816         891Q
USC00412820        1080S
USC00412902         641R
USC00412906        1653R
USC00412950        1470Q
USC00413005         991S
USC00413047         768R
USC00413060        1798S
USC00413063        1478R
USC00413133         943S
USC00413183         895S
USC00413201        1188S
USC00413214         711S
USC00413225         677R
USC00413257         864R
USC00413262         385R
USC00413266        1165S
USC00413280        1111R
USC00413285         874R
USC00413289         922Q
USC00413299        1352S
USC00413321         955R
USC00413329         829S
USC00413340         653S
USC00413341        1415R
USC00413368         545S
USC00413411         986R
USC00413420         709R
USC00413445         815R
USC00413485         859R
USC00413507        1026S
USC00413546         780S
USC00413591        1080R
USC00413614         641R
USC00413618        1050S
USC00413622        1031S
USC00413668         983S
USC00413675         901Q
USC00413680        1353R
USC00413686         985S
USC00413691         845S
USC00413734        1036S
USC00413778         795R
USC00413787         657S
USC00413828        1009S
USC00413873         968S
USC00413877         776R
USC00413943        1340S
USC00413972         556R
USC00413979         457Q
USC00413992         946S
USC00414058        1472S
USC00414077         781Q
USC00414081         765S
USC00414093         959R
USC00414098         631S
USC00414137         846S
USC00414182         942S
USC00414202         768Q
USC00414254        1112Q
USC00414278         745S
USC00414326         957R
USC00414328         950R
USC00414333         574R
USC00414348        1147R
USC00414375         649R
USC00414382         893S
USC00414483         927R
USC00414517         835R
USC00414525         833R
USC00414570         904S
USC00414577         725R
USC00414597         958Q
USC00414605         996S
USC00414670        1058R
USC00414696        1145R
USC00414705         851S
USC00414710        1055Q
USC00414770         540R
USC00414775        1062Q
USC00414782         811S
USC00414792         953R
USC00414903        1033S
USC00414911        1687R
USC00414931         972S
USC00414950        1812S
USC00414967         870R
USC00414974         953R
USC00414976         641R
USC00414979         967R
USC00414980         762R
USC00414982        1008S
USC00415013         833S
USC00415018        1087R
USC00415048        1406S
USC00415060        1621S
USC00415094         879R
USC00415120         991Q
USC00415183         658S
USC00415193         991S
USC00415196         826S
USC00415247         748S
USC00415265         722S
USC00415271         924S
USC00415272        1287S
USC00415341         877R
USC00415344         930Q
USC00415415         707R
USC00415429        1050S
USC00415435         974Q
USC00415454        1172R
USC00415477        1005S
USC00415579         743R
USC00415596         489R
USC00415611         936S
USC00415618         729S
USC00415650         805R
USC00415658         840S
USC00415659         297S
USC00415661        1222S
USC00415701        1504R
USC00415707        1163R
USC00415721        1619S
USC00415742         931R
USC00415757         890S
USC00415766         567R
USC00415770         620S
USC00415821         913S
USC00415822         832S
USC00415836        1204Q
USC00415852         868Q
USC00415869         931R
USC00415875         631R
USC00415888         985R
USC00415891        1194S
USC00415954         890Q
USC00415956         818R
USC00415972        1796R
USC00415999        1255R
USC00416074         700S
USC00416104         191S
USC00416108         781S
USC00416119         670S
USC00416135         689S
USC00416137         768S
USC00416146        1017R
USC00416177         844S
USC00416210         993S
USC00416276         957R
USC00416286        1036R
USC00416368        1016R
USC00416499        1056R
USC00416502        1070Q
USC00416636         931S
USC00416644         439R
USC00416680         645R
USC00416733        1069Q
USC00416734         926R
USC00416739         208Q
USC00416740        1044R
USC00416742        1096R
USC00416747         999S
USC00416776         605S
USC00416780        1187R
USC00416781        1064R
USC00416785         648S
USC00416792        1008S
USC00416794         948S
USC00416879        1410S
USC00416892        1335R
USC00416893        1230Q
USC00416932        1102S
USC00416950         629S
USC00416959        1407R
USC00417020         844R
USC00417028         935R
USC00417044         257R
USC00417066         862Q
USC00417074         748R
USC00417079         616C
USC00417081         583Q
USC00417111        1200R
USC00417140         665R
USC00417170         399R
USC00417179         666S
USC00417183         940Q
USC00417184         571S
USC00417186         401R
USC00417206         959R
USC00417215        1248S
USC00417232         737R
USC00417262        1731S
USC00417300        1070S
USC00417327         914C
USC00417336         913R
USC00417388         964Q
USC00417458        1514S
USC00417481        1434R
USC00417497        1134R
USC00417530         933R
USC00417533         829R
USC00417550         917Q
USC00417588         804Q
USC00417622        1658S
USC00417624        1832Q
USC00417633         851R
USC00417669        1145R
USC00417677        1266S
USC00417704         904S
USC00417706         570R
USC00417743         881S
USC00417782         952S
USC00417841         625R
USC00417920        1081R
USC00417936         666S
USC00417944         964Q
USC00417947         951R
USC00417951         817Q
USC00417981        1429Q
USC00417983        1046S
USC00417992        1080R
USC00417994         909R
USC00418022         948R
USC00418040         964R
USC00418059        1499R
USC00418081        1248Q
USC00418160         962R
USC00418169        1134R
USC00418201         885S
USC00418221         988R
USC00418236         714S
USC00418252        1249S
USC00418274         628S
USC00418305         837R
USC00418323         594S
USC00418354        1163R
USC00418415        1145S
USC00418433         908R
USC00418446        1070S
USC00418449         982R
USC00418487         381R
USC00418523         914R
USC00418566         925R
USC00418583        1058S
USC00418630         898R
USC00418646        1074R
USC00418692         595S
USC00418714        1696R
USC00418728        1181R
USC00418743         624S
USC00418818         755S
USC00418861        1109R
USC00418862         982Q
USC00418910         989R
USC00418924        1705Q
USC00418926        1061R
USC00418942         746C
USC00418996        1084S
USC00419014         971R
USC00419016         982R
USC00419031        1337R
